"id","alim_grp_nom_fr","alim_ssgrp_nom_fr","alim_ssssgrp_nom_fr","alim_nom_fr","kcal","protein","carbohydrate","fat","sugars","fiber","saturated_fat","sodium","unit_id"
"58b568f8-e35c-4a13-9c0e-27945de8ce80","","","",Farine de riz,357.0,8.0,73.9,2.5,0.9,3.3,0.46,0.13,1.0
"7dbef345-6085-4176-9ea3-37cf86848290","","","","Pâte sablée pur beurre, cuite",469.0,6.2,63.0,20.9,20.1,1.9,13.7,0.47,1.0
b5389e2e-257e-45b9-9f4d-285cbcc068bc,entrées et plats composés,sandwichs,"",Sandwich (aliment moyen),243.0,14.2,27.2,8.35,,1.4,,1.24,1.0
e6200c0d-5ab0-4eca-a590-7a8d9c3898ab,produits sucrés,biscuits sucrés,"","Gaufrette, fourrée vanille, préemballée",538.0,5.75,60.1,30.1,32.9,1.6,19.9,0.36,1.0
"1dfd3432-84ff-4308-ba01-2182420385d0",produits sucrés,biscuits sucrés,"",Biscuit sec au lait,,8.25,73.9,11.5,20.0,2.2,5.45,1.14,1.0
bd9dc712-6cf7-49eb-9893-c83b63773aa5,produits sucrés,gâteaux et pâtisseries,"",Mille-feuille,,3.88,43.7,11.3,28.8,0.24,5.27,0.42,1.0
"90881d71-a471-46fe-8593-ca759235f5d8","viandes, œufs, poissons et assimilés",poissons cuits,"","Sole, poêlée",96.7,23.6,0.0,0.5,0.0,0.0,0.01,0.37,1.0
"35b7dfaf-7817-47a5-bcdc-520e94edacb1","viandes, œufs, poissons et assimilés",viandes cuites,abats,"Foie, porc, cuit",159.0,26.0,3.76,4.4,,0.0,1.41,0.12,1.0
aa1a8602-e1fd-47ac-a71c-c42d99130516,produits laitiers et assimilés,fromages et assimilés,fromages à pâte molle,Fromage de chèvre sec,440.0,29.9,0.0,35.6,,0.0,24.6,1.06,1.0
"52dda03b-ab44-4079-a52d-7063add3027d","viandes, œufs, poissons et assimilés",charcuteries et assimilés,autres spécialités charcutières,"Foie gras, canard, bloc, 50% de morceaux",479.0,6.39,2.0,49.5,1.2,0.0,20.2,1.29,1.0
"10e60629-001d-44b0-8ea6-cff4fbc9fd58","fruits, légumes, légumineuses et oléagineux",fruits,fruits séchés,"Pomme, sèche",,0.78,57.2,0.31,54.6,8.7,0.058,0.22,1.0
e4be6197-8a1a-4dce-a4c7-5c213fd5bcbd,aides culinaires et ingrédients divers,épices,"","Vanille, gousse",,,,,,,,0.0,1.0
"61539199-5f0b-4e27-97be-083aa041bf19","viandes, œufs, poissons et assimilés",viandes crues,abats,"Cervelle, agneau, crue",122.0,10.4,0.8,8.58,,0.0,2.19,0.28,1.0
aaf371a4-5762-4548-b9a3-88e3e8cfcc30,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Patate douce, crue",86.3,1.51,18.3,0.15,5.64,2.87,0.064,0.098,1.0
afa03897-77f7-4080-936f-178f87e37ef5,"viandes, œufs, poissons et assimilés",poissons crus,"","Carangue, cru",104.0,19.9,0.0,2.7,0.0,0.0,,0.22,1.0
"372cb48e-5312-44ee-961e-e859423500c3",aides culinaires et ingrédients divers,épices,"","Pavot, graine",551.0,19.7,13.7,43.1,2.99,14.8,4.69,0.059,1.0
e0f037b2-f551-4d3e-bf1c-0fd2d7de5c40,produits sucrés,biscuits sucrés,"",Biscuit sec petit beurre au chocolat,,7.19,71.1,16.0,24.5,2.91,9.37,1.21,1.0
"7808a4ba-f44e-45c3-9fd8-e2674e2e2455",produits sucrés,gâteaux et pâtisseries,"","Gâteau basque, cerises",,4.3,63.3,13.5,42.0,1.4,9.1,0.43,1.0
c7c08ff0-46a1-4d77-9794-9842af06d60b,"","","","Pâte feuilletée, cuite",531.0,7.88,54.1,31.0,0.3,1.8,15.9,1.57,1.0
"64d9d3a4-d848-4491-abeb-cf1ce243648b","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,"Carotte, cuite",18.9,0.55,2.6,0.1,1.3,2.8,0.019,0.051,1.0
"55bc81cb-d65e-407c-8cb8-33b920e76069","viandes, œufs, poissons et assimilés",viandes crues,autres viandes,"Oie, viande et peau, crue",365.0,15.7,0.0,33.6,,0.0,9.78,0.18,1.0
"1cd33acd-e473-4bc1-86a6-5cea9e27b0e4",produits laitiers et assimilés,produits laitiers frais et assimilés,desserts lactés,"Crème dessert à la vanille, rayon frais",105.0,3.0,14.4,3.6,14.2,3.0,2.48,0.12,1.0
"575e97d7-07d3-4674-be0b-3c684f598799","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Brocoli, cru",,3.95,1.7,0.48,1.7,2.9,0.061,0.048,1.0
e608925e-5913-45c2-943d-8a060a2a9d63,produits céréaliers,"pâtes, riz et céréales","pâtes, riz et céréales crus","Blé tendre entier ou froment, cru",,,,,,,,,1.0
"5134e96a-d1b2-4b5f-883c-22e21d2d1f4d","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou rouge, cru",30.0,1.13,4.33,0.5,3.9,2.8,0.01,0.035,1.0
d00ef929-55f0-415c-a200-b83a13c8c7be,"viandes, œufs, poissons et assimilés",poissons crus,"","Flétan de l'Atlantique ou flétan blanc, cru",96.5,21.2,0.0,1.31,0.0,0.0,0.21,0.15,1.0
"6e6b065d-b3ff-447e-8ee1-460c036a420d",produits sucrés,viennoiseries,"","Brioche, de boulangerie traditionnelle",374.0,9.81,49.2,14.7,,3.0,8.51,1.47,1.0
"94733591-5dff-4b02-961c-7ddfb82122ae","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"",Crème de marrons,,1.51,55.0,0.67,,1.3,,,1.0
"56d29cac-a7a7-421e-8316-280dbcada7ef",produits sucrés,biscuits sucrés,"",Florentin (biscuit sec sucré chocolaté aux amandes),514.0,9.31,50.7,28.7,44.1,7.6,10.8,0.13,1.0
e04bf634-247f-47b1-ab79-53d8dd294d01,produits sucrés,gâteaux et pâtisseries,"","Crêpe fourrée au sucre, préemballée",,6.62,58.7,15.8,31.0,1.04,9.38,1.44,1.0
f589218e-35f9-4ee9-9d6f-12aef239b04f,entrées et plats composés,soupes,"","Bouillon de boeuf, déshydraté reconstitué",9.05,0.6,1.33,0.15,0.33,0.0,0.057,0.74,2.0
ee482a78-2334-407a-a27d-f66d80658526,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,Fruit cru (aliment moyen),59.5,0.7,11.6,0.26,9.89,1.97,0.023,0.0088,1.0
"7c060090-656c-429a-bde8-3909bdd8dde9","viandes, œufs, poissons et assimilés",viandes crues,abats,"Rognon, veau, cru",86.1,16.0,0.2,2.36,,0.0,0.82,0.46,1.0
"487193ee-d9a7-41b2-aeae-a9c828d9c2ae",produits laitiers et assimilés,fromages et assimilés,autres fromages et spécialités,"Fromage de chèvre à tartiner, nature",,10.6,2.41,12.2,2.41,0.0,8.08,0.92,1.0
"59554a1c-5eda-4b2a-a8d1-23d747855a7f","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Carotte, crue",40.2,0.63,7.59,0.5,6.0,2.7,0.01,0.11,1.0
"1b8a009d-29d3-4217-a394-b7ac10cb439e",aides culinaires et ingrédients divers,épices,"","Vanille, extrait aqueux",57.7,0.03,14.4,0.0,14.4,0.0,0.0,0.0075,2.0
eb7495c3-9e2b-435a-b9bc-86b3415c29f6,produits céréaliers,pains et assimilés,pains,"Bretzel, pain frais",330.0,10.1,54.6,7.1,3.58,3.8,0.95,3.35,1.0
