"food_id","user_id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id","image_url"
"1816d371-31e3-4061-9d4f-71bf029316e4",,"Estragon, romarin et thym frais",Hello Fresh,44.0,0.0,0.6,4.1,1.2,6.2,3.8,0.025,"4e427164-c134-4753-bd5b-e9ea22e67245",
d104611f-a7d5-43e9-9912-3119cd43f79e,,"Estragon, romarin et thym frais",Hello Fresh,44.0,0.0,0.6,4.1,1.2,6.2,3.8,0.025,"4e427164-c134-4753-bd5b-e9ea22e67245",
cad356c2-a5bd-4ee0-9bdd-1576c07f0176,,Bâtonnets de poivron,Hello Fresh,36.6,0.5,0.01,5.98,4.8,3.2,1.06,0.013,"4e427164-c134-4753-bd5b-e9ea22e67245",
"47409069-99ed-4367-a238-42af7c8615ba",,Boulettes végétales,Hello Fresh,211.0,10.6,1.11,7.98,3.47,5.45,17.6,1.51,"4e427164-c134-4753-bd5b-e9ea22e67245",
da473eef-949e-44e5-9397-be8bc280c709,,Gnocchi de pomme de terre,Hello Fresh,176.0,1.42,0.3,35.0,3.18,2.2,4.66,1.18,"4e427164-c134-4753-bd5b-e9ea22e67245",
a7123a9e-f1f7-49da-8264-17423d79bc0b,,Civet de cerf,Hello Fresh,113.0,2.04,0.88,0.0,0.0,0.0,23.7,0.13,"4e427164-c134-4753-bd5b-e9ea22e67245",
b77e9bf4-f2af-48fb-8c9c-f531f8bb2a18,,Lait demi-écrémé bio,Hello Fresh,47.0,1.55,1.04,4.83,4.66,0.0,3.31,0.09,fc39394d-30f0-4378-b37c-387f9a2bfed0,
"79e6fd37-ca63-445c-9cb6-f32b64635c4a",,Mélange de salades avec de la ciboulette,Hello Fresh,18.3,0.4,0.09,0.85,0.0,2.4,2.06,0.063,"4e427164-c134-4753-bd5b-e9ea22e67245",
ea41a101-29c2-400f-99d1-71bbfa439c24,,Mélange de salades avec de la ciboulette,Hello Fresh,18.3,0.4,0.09,0.85,0.0,2.4,2.06,0.063,"4e427164-c134-4753-bd5b-e9ea22e67245",
"179604cd-9f4d-4d4a-8fcf-833bc1d1dcc2",,Menthe et thym,Hello Fresh,107.0,1.68,0.47,10.5,,14.0,5.56,0.023,"4e427164-c134-4753-bd5b-e9ea22e67245",
"47df980c-1227-444d-9d67-a0b10bd40811",,Menthe et thym,Hello Fresh,107.0,1.68,0.47,10.5,,14.0,5.56,0.023,"4e427164-c134-4753-bd5b-e9ea22e67245",
"0971a70d-5e3b-400c-a141-068f7065b28a",,Menthe et thym,Hello Fresh,107.0,1.68,0.47,10.5,,14.0,5.56,0.023,"4e427164-c134-4753-bd5b-e9ea22e67245",
"9588ac04-046d-484e-a2e7-39f2710b966b",,Menthe fraiche et aneth,Hello Fresh,48.2,1.1,0.27,3.9,1.2,3.5,3.93,0.15,"4e427164-c134-4753-bd5b-e9ea22e67245",
"117df716-cb11-481f-b0b8-fde94afa4292",,"Menthe, origan et persil",Hello Fresh,43.0,0.63,0.1,3.48,0.95,4.3,3.71,0.59,"4e427164-c134-4753-bd5b-e9ea22e67245",
"3c5d0d1d-e59f-4aef-bf0f-154f9e142271",,Crème aigre,Hello Fresh,,13.5,9.4,4.3,4.2,0.0,2.9,0.15,"4e427164-c134-4753-bd5b-e9ea22e67245",
"62d994f9-4449-4d3f-8fb7-43b89e433528",,Pain brioché complet,Hello Fresh,356.0,9.38,5.22,55.5,6.9,3.3,10.7,1.31,"4e427164-c134-4753-bd5b-e9ea22e67245",
fe2a39fb-8df1-4b93-b8da-7cbd7dc0792d,,Pain d'épice bio,Hello Fresh,,1.1,0.18,71.5,38.2,3.0,2.94,0.47,"4e427164-c134-4753-bd5b-e9ea22e67245",
"42124e3f-44a5-4138-a2be-e96320327c29",,Crevettes marinées,Hello Fresh,99.0,0.84,0.19,3.21,0.0,0.0,19.7,0.45,"4e427164-c134-4753-bd5b-e9ea22e67245",
c3b53f5a-d486-4cbf-9bf2-74e98066d5c5,,Cuisse de poulet en dés,Hello Fresh,213.0,11.3,4.44,2.0,0.0,0.0,25.9,0.23,"4e427164-c134-4753-bd5b-e9ea22e67245",
"396f5386-0143-4f6c-aea0-5f6ca43886b7",,Persil frisé et ciboulette frais,Hello Fresh,43.0,0.63,0.1,3.48,0.95,4.3,3.71,0.59,"4e427164-c134-4753-bd5b-e9ea22e67245",
"827bad76-0aa0-4c8d-ae69-dec303d72b61",,Émincé de porc mariné à la thaï,Hello Fresh,198.0,14.0,5.4,0.1,0.0,0.0,18.0,0.19,"4e427164-c134-4753-bd5b-e9ea22e67245",
"8360d7ff-6b1e-4608-b9f1-3196fc53941d",,Romarin moulu,Hello Fresh,328.0,15.2,7.37,21.5,,42.6,4.88,0.13,"4e427164-c134-4753-bd5b-e9ea22e67245",
"7ad6a813-7137-4924-a7b5-c4881d3b616e",,Roquette cresson,Hello Fresh,,0.66,0.086,2.1,2.05,1.6,2.58,0.068,"4e427164-c134-4753-bd5b-e9ea22e67245",
