id,name,category
5af2be3eae08b5194415a225,Pourpier,
5af2c16dae08b51b804e5919,Fromage fondu,
5af2be0eae08b5194415a17f,Haricots plats,
5af2be7aae08b5194415a304,Pommes de terre Roseval,
6405bff3b0da194777986433,Tomate,
5b48b6a1ae08b5754b458414,"Laitue iceberg, carotte et chou blanc",
5af2c14aae08b51b804e58aa,Dés de filet de poulet,poulet
5e0e0d36b42eb478be0efcfc,"Persil frais, coriandre et origan",mélange d'herbes
6405bf3aaf4af6d531d50acf,Épinards,
5af2bdf3ae08b5194415a109,Gnocchi,pâtes
64073c4e9c6d10cd16eab6be,Chou rouge découpé,
5c0109bbe3f339397c2ba5b3,Basilic thaï,basilic
6405bffeaf4af6d531d50d8f,Tomates rouges et jaunes semi-séchées,
6405bf79b9d07cd5d38d7ad0,Asperges blanches,
5af2be25ae08b5194415a1ce,Agneau haché,
6405bf54b0da194777986216,Romarin,
6405bf8baf4af6d531d50c00,Confit de canard,
5c700022e3f3396c2e00db14,Persil plat et coriandre,mélange d'herbes
5d2455ff6bca36000d28ed33,Nectarine,
6405c013b0da19477798649e,Curry vert,
5af2bdecae08b5194415a0ee,Feuilles de lasagne,
5af2be3eae08b5194415a226,Pain au curcuma,
5af2be24ae08b5194415a1cb,Saumon fumé à chaud,Poisson
6405c008b9d07cd5d38d7cb0,Radis noir,
6405bf7ab0da194777986298,Gouda vieux râpé,
5af2be60ae08b5194415a2a2,Épinards,
6405bf83b9d07cd5d38d7aef,"Mélange de gingembre, d'ail et de piment rouge",
5af2bdfcae08b5194415a12f,Anis étoilé,
6405bfe8b0da19477798640e,Betterave de chioggia,
5f365e7f5a32cc237c7bd926,Mélange de salades,mélange de salade
5e304aef7022991e096f4fc9,Graines de fenouil moulues,graines de fenouil
6405bf7ab9d07cd5d38d7ad4,Curcuma frais,
6405c007af4af6d531d50dab,Sauce yaourt-tahini,
64073bc2df6297bb5beef128,Samossas bœuf,
6405bf38b9d07cd5d38d79d7,Crevettes,
5af2bdf6ae08b5194415a116,Asperges blanches,
5af2bdefae08b5194415a0fb,Mâche,
64073bd09c6d10cd16eab651,Pesto vert alla genovese,
5dc1933b61275278b44aa5c9,Émincés de seitan,autre substitut de viande
64073bcb9c6d10cd16eab644,Céleri-branche,
6405bf4ab0da1947779861f3,Pêche jaune,
6405bf90b9d07cd5d38d7b19,Émincés de cuisse de poulet aux fines herbes et à l'ail,
64073e4b9c6d10cd16eab798,Thym et basilic frais,
6405c000b0da19477798645b,Radis Red Meat,
6405bf8bb0da1947779862db,Côte de bœuf,
6405bf61af4af6d531d50b7e,Mélange de légumes hollandais,
6405bf3bb9d07cd5d38d79e1,Chair à saucisse,
5af2be07ae08b5194415a163,Shoarma de poulet,
5af2be6cae08b5194415a2cf,Citron vert,citron vert
64073bf6df6297bb5beef169,Bouchées de blé panées,
