"id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id"
"58b568f8-e35c-4a13-9c0e-27945de8ce80",Farine de riz,"",357.0,2.5,0.46,73.9,0.9,3.3,8.0,0.13,1
"7dbef345-6085-4176-9ea3-37cf86848290","Pâte sablée pur beurre, cuite","",469.0,20.9,13.7,63.0,20.1,1.9,6.2,0.47,1
b5389e2e-257e-45b9-9f4d-285cbcc068bc,Sandwich (aliment moyen),"",243.0,8.35,,27.2,,1.4,14.2,1.24,1
e6200c0d-5ab0-4eca-a590-7a8d9c3898ab,"Gaufrette, fourrée vanille, préemballée","",538.0,30.1,19.9,60.1,32.9,1.6,5.75,0.36,1
"1dfd3432-84ff-4308-ba01-2182420385d0",Biscuit sec au lait,"",,11.5,5.45,73.9,20.0,2.2,8.25,1.14,1
bd9dc712-6cf7-49eb-9893-c83b63773aa5,Mille-feuille,"",,11.3,5.27,43.7,28.8,0.24,3.88,0.42,1
"90881d71-a471-46fe-8593-ca759235f5d8","Sole, poêlée","",96.7,0.5,0.01,0.0,0.0,0.0,23.6,0.37,1
"35b7dfaf-7817-47a5-bcdc-520e94edacb1","Foie, porc, cuit","",159.0,4.4,1.41,3.76,,0.0,26.0,0.12,1
aa1a8602-e1fd-47ac-a71c-c42d99130516,Fromage de chèvre sec,"",440.0,35.6,24.6,0.0,,0.0,29.9,1.06,1
"52dda03b-ab44-4079-a52d-7063add3027d","Foie gras, canard, bloc, 50% de morceaux","",479.0,49.5,20.2,2.0,1.2,0.0,6.39,1.29,1
"10e60629-001d-44b0-8ea6-cff4fbc9fd58","Pomme, sèche","",,0.31,0.058,57.2,54.6,8.7,0.78,0.22,1
e4be6197-8a1a-4dce-a4c7-5c213fd5bcbd,"Vanille, gousse","",,,,,,,,0.0,1
"61539199-5f0b-4e27-97be-083aa041bf19","Cervelle, agneau, crue","",122.0,8.58,2.19,0.8,,0.0,10.4,0.28,1
aaf371a4-5762-4548-b9a3-88e3e8cfcc30,"Patate douce, crue","",86.3,0.15,0.064,18.3,5.64,2.87,1.51,0.098,1
afa03897-77f7-4080-936f-178f87e37ef5,"Carangue, cru","",104.0,2.7,,0.0,0.0,0.0,19.9,0.22,1
"02e93708-bde9-4aaf-8d5b-495b6d0c50c5",Huile de sardine,"",900.0,100.0,29.9,0.0,0.0,0.0,0.0,0.0,1
"372cb48e-5312-44ee-961e-e859423500c3","Pavot, graine","",551.0,43.1,4.69,13.7,2.99,14.8,19.7,0.059,1
e0f037b2-f551-4d3e-bf1c-0fd2d7de5c40,Biscuit sec petit beurre au chocolat,"",,16.0,9.37,71.1,24.5,2.91,7.19,1.21,1
"7808a4ba-f44e-45c3-9fd8-e2674e2e2455","Gâteau basque, cerises","",,13.5,9.1,63.3,42.0,1.4,4.3,0.43,1
c7c08ff0-46a1-4d77-9794-9842af06d60b,"Pâte feuilletée, cuite","",531.0,31.0,15.9,54.1,0.3,1.8,7.88,1.57,1
"64d9d3a4-d848-4491-abeb-cf1ce243648b","Carotte, cuite","",18.9,0.1,0.019,2.6,1.3,2.8,0.55,0.051,1
"55bc81cb-d65e-407c-8cb8-33b920e76069","Oie, viande et peau, crue","",365.0,33.6,9.78,0.0,,0.0,15.7,0.18,1
"1cd33acd-e473-4bc1-86a6-5cea9e27b0e4","Crème dessert à la vanille, rayon frais","",105.0,3.6,2.48,14.4,14.2,3.0,3.0,0.12,1
"575e97d7-07d3-4674-be0b-3c684f598799","Brocoli, cru","",,0.48,0.061,1.7,1.7,2.9,3.95,0.048,1
e608925e-5913-45c2-943d-8a060a2a9d63,"Blé tendre entier ou froment, cru","",,,,,,,,,1
"5134e96a-d1b2-4b5f-883c-22e21d2d1f4d","Chou rouge, cru","",30.0,0.5,0.01,4.33,3.9,2.8,1.13,0.035,1
d00ef929-55f0-415c-a200-b83a13c8c7be,"Flétan de l'Atlantique ou flétan blanc, cru","",96.5,1.31,0.21,0.0,0.0,0.0,21.2,0.15,1
"6e6b065d-b3ff-447e-8ee1-460c036a420d","Brioche, de boulangerie traditionnelle","",374.0,14.7,8.51,49.2,,3.0,9.81,1.47,1
"94733591-5dff-4b02-961c-7ddfb82122ae",Crème de marrons,"",,0.67,,55.0,,1.3,1.51,,1
"56d29cac-a7a7-421e-8316-280dbcada7ef",Florentin (biscuit sec sucré chocolaté aux amandes),"",514.0,28.7,10.8,50.7,44.1,7.6,9.31,0.13,1
"1b8a009d-29d3-4217-a394-b7ac10cb439e","Vanille, extrait aqueux","",57.7,0.0,0.0,14.4,14.4,0.0,0.03,0.0075,1
e04bf634-247f-47b1-ab79-53d8dd294d01,"Crêpe fourrée au sucre, préemballée","",,15.8,9.38,58.7,31.0,1.04,6.62,1.44,1
f589218e-35f9-4ee9-9d6f-12aef239b04f,"Bouillon de boeuf, déshydraté reconstitué","",9.05,0.15,0.057,1.33,0.33,0.0,0.6,0.74,2
ee482a78-2334-407a-a27d-f66d80658526,Fruit cru (aliment moyen),"",59.5,0.26,0.023,11.6,9.89,1.97,0.7,0.0088,1
