id,alim_nom_fr,portions,quantities
58b568f8-e35c-4a13-9c0e-27945de8ce80,Farine de riz,"cuillère à soupe, tasse","15g, 125g"
7dbef345-6085-4176-9ea3-37cf86848290,"Pâte sablée pur beurre, cuite",part,60g
b5389e2e-257e-45b9-9f4d-285cbcc068bc,Sandwich (aliment moyen),unité,200g
e6200c0d-5ab0-4eca-a590-7a8d9c3898ab,"Gaufrette, fourrée vanille, préemballée",unité,30g
1dfd3432-84ff-4308-ba01-2182420385d0,Biscuit sec au lait,unité,10g
bd9dc712-6cf7-49eb-9893-c83b63773aa5,Mille-feuille,part,125g
90881d71-a471-46fe-8593-ca759235f5d8,"Sole, poêlée",filet,150g
35b7dfaf-7817-47a5-bcdc-520e94edacb1,"Foie, porc, cuit",tranche,100g
aa1a8602-e1fd-47ac-a71c-c42d99130516,Fromage de chèvre sec,morceau,30g
52dda03b-ab44-4079-a52d-7063add3027d,"Foie gras, canard, bloc, 50% de morceaux",tranche,50g
10e60629-001d-44b0-8ea6-cff4fbc9fd58,"Pomme, sèche",unité,10g
e4be6197-8a1a-4dce-a4c7-5c213fd5bcbd,"Vanille, gousse",gousse,5g
61539199-5f0b-4e27-97be-083aa041bf19,"Cervelle, agneau, crue",portion,150g
aaf371a4-5762-4548-b9a3-88e3e8cfcc30,"Patate douce, crue",unité moyenne,200g
afa03897-77f7-4080-936f-178f87e37ef5,"Carangue, cru",filet,150g
02e93708-bde9-4aaf-8d5b-495b6d0c50c5,Huile de sardine,cuillère à soupe,15ml
372cb48e-5312-44ee-961e-e859423500c3,"Pavot, graine",cuillère à soupe,9g
e0f037b2-f551-4d3e-bf1c-0fd2d7de5c40,Biscuit sec petit beurre au chocolat,unité,15g
7808a4ba-f44e-45c3-9fd8-e2674e2e2455,"Gâteau basque, cerises",part,100g
c7c08ff0-46a1-4d77-9794-9842af06d60b,"Pâte feuilletée, cuite",feuille,30g
64d9d3a4-d848-4491-abeb-cf1ce243648b,"Carotte, cuite",unité moyenne,80g
55bc81cb-d65e-407c-8cb8-33b920e76069,"Oie, viande et peau, crue",portion,100g
1cd33acd-e473-4bc1-86a6-5cea9e27b0e4,"Crème dessert à la vanille, rayon frais",pot,125g
575e97d7-07d3-4674-be0b-3c684f598799,"Brocoli, cru",tête moyenne,150g
e608925e-5913-45c2-943d-8a060a2a9d63,"Blé tendre entier ou froment, cru",tasse,170g
5134e96a-d1b2-4b5f-883c-22e21d2d1f4d,"Chou rouge, cru",feuille,30g
d00ef929-55f0-415c-a200-b83a13c8c7be,"Flétan de l'Atlantique ou flétan blanc, cru",filet,150g
6e6b065d-b3ff-447e-8ee1-460c036a420d,"Brioche, de boulangerie traditionnelle",tranche,50g
94733591-5dff-4b02-961c-7ddfb82122ae,Crème de marrons,cuillère à soupe,30g
56d29cac-a7a7-421e-8316-280dbcada7ef,Florentin (biscuit sec sucré chocolaté aux amandes),unité,20g
1b8a009d-29d3-4217-a394-b7ac10cb439e,"Vanille, extrait aqueux",cuillère à café,5ml
e04bf634-247f-47b1-ab79-53d8dd294d01,"Crêpe fourrée au sucre, préemballée",unité,60g
f589218e-35f9-4ee9-9d6f-12aef239b04f,"Bouillon de boeuf, déshydraté reconstitué",tasse,240ml
ee482a78-2334-407a-a27d-f66d80658526,Fruit cru (aliment moyen),unité,150g
7c060090-656c-429a-bde8-3909bdd8dde9,"Rognon, veau, cru",portion,100g
487193ee-d9a7-41b2-aeae-a9c828d9c2ae,"Fromage de chèvre à tartiner, nature",cuillère à soupe,15g
59554a1c-5eda-4b2a-a8d1-23d747855a7f,"Carotte, crue",unité moyenne,60g
eb7495c3-9e2b-435a-b9bc-86b3415c29f6,"Bretzel, pain frais",unité,60g
cdccb4f4-417e-4365-913e-b2ada53df3c0,Farine de seigle T170,tasse,130g
9fa84fdc-5e8d-4b1f-bdb3-86df2dc0e1c4,"Hareng, cru",filet,150g
bbeacb84-5a0f-406d-942a-b3450b2d5b4d,"Olive verte, en saumure, égouttée",unité,5g
325d28f0-b463-44d7-8925-89da5dcbe81e,"Thon, cru",steak,100g
85b9384c-e88f-444f-bd71-eb357f5a8a81,"Croissant ordinaire, artisanal",unité,50g
629ebb14-5443-441c-889b-fa0b7f7bcc44,Barre glacée chocolatée,unité,75g
443c0a76-4eae-491f-9eb1-1154d143f617,"Navet, bouilli/cuit à l'eau",unité moyenne,100g
038fcb99-86fb-43bf-9261-c9b5da01f630,"Poulet, cuisse, viande et peau, cru, bio",cuisse,120g
8a73063e-3250-4787-a06c-a24d2dab4100,"Pain, baguette, de tradition française",tranche,30g
c1d53d0b-3e96-49de-9b2e-1c6c72b78966,"Gâteau de semoule aux raisins et caramel, rayon frais",part,150g
f21dacd6-79af-44f1-bae9-d942fcb037dd,"Jus de grenade, prélevée à la Martinique",verre,250ml
ee028e20-3352-41a3-9efd-f9a5d45a18d1,Coulommiers,portion,30g
38a570c8-9b9a-4ed5-bb71-9a2c53eb1f80,"Rascasse, cuite à la vapeur",portion,150g
882287fa-f097-40f0-8b53-e216e7e861c8,"Sabre, cru",filet,150g
58fd2b80-1d2d-4cbb-b7c4-1aaa7ba966ef,Biscuit de Savoie,tranche,50g
dd585fcb-2c06-466f-b2cc-99593ae5f92c,"Écrevisse, crue",portion,100g
f96e2b3c-2ab0-468b-ba6c-1a5b6fabd024,Mélasse de canne,cuillère à soupe,20g
2150d224-e539-467c-9458-833c5cf8b7ba,Tempeh,portion,100g
ad6efbdc-42c5-4b7f-982a-42468a241da1,"Faisselle, 6% MG environ",pot,100g
97de8256-eb70-463f-9477-8b0e072f7c56,Pélardon (fromage de chèvre),unité,60g
2827531f-d082-4e5f-856a-c94fed8266e9,"Pois cassé, sec",tasse,200g
55768e81-20c0-4b63-b0a0-edc016e02a9a,"Pêche au sirop léger, appertisée, non égouttée",unité,130g
880d86ed-b93f-4da8-b9b9-ceb989300920,"Jus de corossol, prélevé à la Martinique",verre,250ml
e9ffe658-411d-4651-8c9c-f1eb7313bde9,Bagel,unité,100g
a17c5b82-b821-4395-9a58-75f1363f80b2,Huile d'amande,cuillère à soupe,15ml
240ee5c5-f4c6-4c8d-87cf-db20c2ab86ca,Huile de coton,cuillère à soupe,15ml
8855dc4b-81ad-486d-8f16-501ad9e8d5c8,Vinaigre de vin rouge,cuillère à soupe,15ml
8af2149d-7074-43d0-9dd9-bd325ec66e8a,"Cardine franche, crue",filet,150g
696e2e0d-f1dc-4918-bdef-78a2fafe88d3,Graisse d'oie,cuillère à soupe,12g
bcc77548-6a05-4d05-a9d1-7f89a26e4bea,"Gingembre, racine crue",tranche,10g
55f349a9-500e-4760-8e2f-5554f0b9d4dc,"Noix de coco, amande mûre, fraîche",morceau,30g
c4ecebdb-bad6-4ee2-81b9-2015be4d7316,Sucre blanc,cuillère à soupe,15g
97fc126c-0d22-4092-ada1-b7d76c7413df,"Sanglier, cru",portion,100g
e1d820c7-c7f4-49b4-8fc5-c483ecbc157c,Gougère,unité,30g
cf9742b5-a1f6-44a6-9a7c-706c302791ff,Ossau-Iraty,morceau,30g
a4bef8da-479b-43a6-9957-083a6b1cc39f,"Quinoa, bouilli/cuit à l'eau, non salé",tasse,185g
52ba35c6-6c90-4519-98a3-0d2f467084db,"Coeur, boeuf, cuit",portion,100g
bf2cf7be-0ecb-461a-9002-18165a6c7d95,"Lièvre, viande crue",portion,100g
f32222fc-7cbb-4809-b5b7-b7f1db75cb0b,"Lotte ou baudroie, crue",portion,150g
cac59fb8-0f54-4265-aa56-b061a4380169,"Croque-monsieur, préemballé",unité,250g
688db318-b525-484b-b435-7c1d39dbaba5,"Taro, tubercule, cru",unité moyenne,100g
90eb9a2a-1d18-4269-9e3c-002691335ba3,"Curry, poudre",cuillère à café,2g
a8e60ca3-645f-450a-9aae-7be255927713,"Carottes râpées, avec sauce, préemballées",portion,100g
9332bf50-f5c0-4328-b853-260a8aa2c719,Dragée amande,unité,5g
54190271-c735-4b23-998f-2783fbd601aa,"Porc, carré, cuit",tranche,100g
d20a36bc-a35a-4148-8c31-5e386370a510,"Épinard, cru",tasse,30g
d2722f95-28ff-4b36-b0f0-2377fa3064cd,"Pomme, pulpe, bouillie/cuite à l'eau",unité,150g
3cf2f9a2-0c7c-4d8d-a183-d60f466c88b3,Pâte à pizza crue,part,100g
6e9337a5-1128-456d-a00b-4d46d1527428,Farine d'orge,tasse,100g
bfb43ba1-495d-48b6-a2f5-254c6badf29b,"Pâte brisée, pur beurre, crue",part,50g
6027cb5c-dd09-4266-b4fd-cd167d44f119,Flocon d'avoine,tasse,80g
1a019d2f-7c90-4ba3-965e-7c54f51e206c,Farine de blé tendre ou froment avec levure incorporée,tasse,120g
