"hellofresh_id","hellofresh_name","ciqual_id","ciqual_name"
"5d78aad4965c9800152ee448",Abricots séchés,e65b1fc3-313a-4c06-8ea3-63506a96b12b,"Abricot, dénoyauté, sec"
"6405bf45b9d07cd5d38d7a08",Aiguillettes de canard,"2a865a19-f378-4351-a7d1-a63bffdad6e1","Canard, magret, cru"
"5c950d88c445fa28f67f6be3",Aiguillettes de poulet,"41ad83eb-44df-4f20-b272-4e39d980e4f0","Poulet, filet, sans peau, cru"
"6405bfb9af4af6d531d50caf",Aiguillettes de poulet,"41ad83eb-44df-4f20-b272-4e39d980e4f0","Poulet, filet, sans peau, cru"
"5af2bea3ae08b5194415a399",Aiguillettes de poulet marinées,"41ad83eb-44df-4f20-b272-4e39d980e4f0","Poulet, filet, sans peau, cru"
"6405bf60b0da194777986235",Ail des ours,"1e63dc29-97b9-4bb8-8752-9dc2d36b05cc","Ail, cru"
"6405bf91b9d07cd5d38d7b1c",Endive,"205564bf-5f54-43cc-93f6-c18ed8ee7563","Endive, crue"
"5af2c157ae08b51b804e58cc",Aïoli,"2ee5e15d-d09c-4039-94e6-12d833c35863","Mayonnaise (70% MG min.), préemballée"
"6405bfa5af4af6d531d50c60",Épices italiennes,"061170c1-7585-4b89-84ac-c478cadf8761",Epice (aliment moyen)
"5d2c50039de58100111e3d87",Épices italiennes,"061170c1-7585-4b89-84ac-c478cadf8761",Epice (aliment moyen)
"64073c1f9c6d10cd16eab69b",Aïoli,"2ee5e15d-d09c-4039-94e6-12d833c35863","Mayonnaise (70% MG min.), préemballée"
"6405bf3aaf4af6d531d50acf",Épinards,d20a36bc-a35a-4148-8c31-5e386370a510,"Épinard, cru"
"5af2be60ae08b5194415a2a2",Épinards,d20a36bc-a35a-4148-8c31-5e386370a510,"Épinard, cru"
"64073be3683721c9a32b077f",Épinards,d20a36bc-a35a-4148-8c31-5e386370a510,"Épinard, cru"
"6405bf8eb9d07cd5d38d7b14",Aïoli,"2ee5e15d-d09c-4039-94e6-12d833c35863","Mayonnaise (70% MG min.), préemballée"
"6405c021b0da1947779864d7",Escalope de jambon,"14b9f06f-d63e-4121-8458-07db79bbcbbb","Porc, escalope de jambon, crue"
"5e81e04e65d0084a291b703a",Escalope de poisson pané aux céréales,"6f46bd4b-7b3c-47c4-ba7f-baecbcea7ba7","Poisson pané, surgelé, cru"
"64462ddab9e290fea667b0a7",Aïoli,"2ee5e15d-d09c-4039-94e6-12d833c35863","Mayonnaise (70% MG min.), préemballée"
"6405bfd8b0da1947779863d8",Estragon,"5ab4823c-bad5-403f-867c-8aaa2a17119a","Estragon, frais"
"64073c349c6d10cd16eab6a8",Estragon,"5ab4823c-bad5-403f-867c-8aaa2a17119a","Estragon, frais"
"5af2be5bae08b5194415a290",Estragon,"5ab4823c-bad5-403f-867c-8aaa2a17119a","Estragon, frais"
"5beec8e830006c7bdc6df1e3",Estragon et cerfeuil,"060f2c23-6f58-4b40-9a06-e57c86106214","Esturgeon, cru"
"64073c6f683721c9a32b07e1",Estragon et cerfeuil frais,"2f228b28-5a3e-4dc9-a817-b2de6212dae8","Cerfeuil, frais"
"5c26420ec445fa3b712401b4","Estragon, persil et thym frais","5ab4823c-bad5-403f-867c-8aaa2a17119a","Estragon, frais"
"6405bf2ab0da19477798618b","Estragon, romarin et thym frais","5ab4823c-bad5-403f-867c-8aaa2a17119a","Estragon, frais"
"5d933d54ee11f33f5c543047","Estragon, romarin et thym frais","5ab4823c-bad5-403f-867c-8aaa2a17119a","Estragon, frais"
"5b928b3fae08b553974324f2",Alpro Cuisine,"7f1bb9e9-0d97-4780-96aa-d7b0af0950e9","Préparation culinaire à base de soja, type ""crème de soja"""
"646388c36ced9aa0d6353bc6",Amandes entières grillées non salées,"775a52b8-26cc-42e6-ac7f-3d6bb573e21f",Amande (avec peau)
"6405bf7baf4af6d531d50bd8",Aneth et menthe,a01e6b68-bf7d-4811-bb15-ed22f2a36815,"Aneth, frais"
"5e7360246b65da116176e157","Aneth, menthe et persil plat",a01e6b68-bf7d-4811-bb15-ed22f2a36815,"Aneth, frais"
"6405bf89b9d07cd5d38d7b07","Aneth, menthe et persil plat",a01e6b68-bf7d-4811-bb15-ed22f2a36815,"Aneth, frais"
"6405bfb6b9d07cd5d38d7ba5",Anis étoilé,"061170c1-7585-4b89-84ac-c478cadf8761",Epice (aliment moyen)
"5af2bdfcae08b5194415a12f",Anis étoilé,"061170c1-7585-4b89-84ac-c478cadf8761",Epice (aliment moyen)
"63e51223bc1d64f7b96e2707",Babeurre,dfe00c1e-88cd-4adb-90f2-098a1834a251,"Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT"
"5af2be24ae08b5194415a1c9",Baharat,fd1ae9e8-bfff-4094-ae75-baf732c85288,Quatre épices
"5eaa75a8c23bc358bf37e995",Faux filet de bœuf,f6b3438c-8e03-4e78-ada3-d6c7f53ce59d,"Boeuf, faux-filet, cru"
"6405bfe5af4af6d531d50d2c",Fenouil,"18f83eef-7e4e-4d4c-9bb2-bcb47175471e","Fenouil, cru"
"6405bfd2af4af6d531d50cf8",Fenouil moulu,"3ae0764f-db8c-48fc-88e7-cfd0c734046a","Fenouil, graine"
"64073ba79c6d10cd16eab61a",Feta,aa9a7e0b-a238-4d69-8463-eda40b597ed2,Feta AOP
"5af2bdedae08b5194415a0f5",Feta,aa9a7e0b-a238-4d69-8463-eda40b597ed2,Feta AOP
"6405bf95af4af6d531d50c1e",Baharat,fd1ae9e8-bfff-4094-ae75-baf732c85288,Quatre épices
"6405bff1af4af6d531d50d4d",Basilic et menthe,a8ee748c-7c64-4137-98b6-b1d5740e2e00,"Basilic, frais"
"5d03abf4d2d35b00122f5377",Bâtard aux figues,"887f8ae5-87c5-4d69-aada-c134f259f8b3","Pain, baguette ou boule, de campagne"
"6405bf6bb9d07cd5d38d7a9d",Bâtonnets de poivron,da10848f-5a61-497c-8245-7a0ecda85acb,"Poivron rouge, cru"
"6405bf97af4af6d531d50c29",Bavette de bœuf,"0fb5c853-c56f-41a2-923c-b0ca2ceea1fa","Boeuf, bavette d'aloyau, crue"
"644c60f3e915ac78ee7c6776",Bavette de bœuf,"0fb5c853-c56f-41a2-923c-b0ca2ceea1fa","Boeuf, bavette d'aloyau, crue"
"64073bd4683721c9a32b076e",Bavette de bœuf,"0fb5c853-c56f-41a2-923c-b0ca2ceea1fa","Boeuf, bavette d'aloyau, crue"
"64073c1fdf6297bb5beef183",Fève de soja,ce115ce9-868f-4e92-916c-35f5f8f64b3b,"Fève, sèche"
"5cfa73a3d8a871000b700302",Filet d'églefin,"546630dc-0d67-4efd-919e-b0b60fa9b7b7","Églefin, cru"
"64073bbf683721c9a32b0756",Filet d'églefin sans peau,"546630dc-0d67-4efd-919e-b0b60fa9b7b7","Églefin, cru"
"5cdea5d0bfc591000c342572",Filet de cabillaud,"6ed672e4-a03c-4ad0-8b42-642ee89983e8","Cabillaud, cru"
"5c794afee3f3396cd34fd752",Filet de cabillaud (100 g),"6ed672e4-a03c-4ad0-8b42-642ee89983e8","Cabillaud, cru"
"64073baadf6297bb5beef101",Filet de cabillaud sans peau,"6ed672e4-a03c-4ad0-8b42-642ee89983e8","Cabillaud, cru"
"6405bf5db0da19477798622d",Filet de cabillaud sans peau,"6ed672e4-a03c-4ad0-8b42-642ee89983e8","Cabillaud, cru"
"5af2be72ae08b5194415a2e3",Filet de cabillaud sans peau,"6ed672e4-a03c-4ad0-8b42-642ee89983e8","Cabillaud, cru"
"5d53dde30f071b001579bac7",Bavette de bœuf,"0fb5c853-c56f-41a2-923c-b0ca2ceea1fa","Boeuf, bavette d'aloyau, crue"
"6405bf22b9d07cd5d38d798d",Bette à carde et laitue d'agneau,"37df426b-f016-4406-8e96-fa43210ba6db","Bette ou blette, crue"
"5dcd727bf283181a300ab129",Bette à carde et mâche,cba57d94-1002-4fe8-8560-d1521af51218,"Mâche, crue"
"5c8bcd9ce3f3397358648c95",Beurre,"5d400b4c-e701-4733-a4b3-ddd8dfd53dfc","Beurre à 82% MG, doux"
"63e5122181b4b295e66f0258",Beurre,"5d400b4c-e701-4733-a4b3-ddd8dfd53dfc","Beurre à 82% MG, doux"
